発明の名称,要約,出願番号,公開番号,applicant_main,inventor_main,year,ipc_main_group,cluster,cluster_label,umap_x,umap_y,eagle_cluster,drill_cluster,drill_cluster_label,mega_pulse_group,core_技術分類,core_課題分類,core_解決手段分類
沈殿単相結晶性１次元ナノスケールカルサイトの製造方法,-,特願2025-543721,特表2026-510548,['ユニバーシティ\u3000オブ\u3000サウス\u3000アフリカ'],[],2024.0,['C01F11'],-1,ノイズ / 小クラスタ,16.688774,14.388874,-1,,,,その他,その他,その他
炭酸カルシウム粒子の製造方法および炭酸カルシウム粒子の製造装置,-,特願2023-112306,特開2025-009356,['ＴＢＭ'],[],2023.0,['C01F11'],23,"[23] 製造, 炭酸カルシウム, 炭酸ストロンチウム",18.15285,14.854486,-1,,,,炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,専用装置・プラントシステムの設計
二酸化炭素固定化方法,-,特願2023-003161,特開2024-099313,['神戸製鋼所'],[],2023.0,"['110', '210', 'C01B32', 'B01D53', 'C01F11']",9,"[9] 二酸化炭素, 製造, 炭酸ガス",15.408371,18.37078,-1,1,"[1] 二酸化炭素, 製造, 炭酸ガス",,二酸化炭素固定化・環境技術,温室効果ガス削減・環境対応,その他
炭酸カルシウム粒子の製造方法および炭酸カルシウム粒子の製造装置,-,特願2023-110805,特開2025-008554,['ＴＢＭ'],[],2023.0,"['625@E', 'B01D9', '601@B', 'C01F11']",23,"[23] 製造, 炭酸カルシウム, 炭酸ストロンチウム",18.188179,14.8223505,-1,,,,炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,専用装置・プラントシステムの設計
炭酸ガス固定化方法,-,特願2022-211398,特開2024-094693,['日鉄鉱業'],[],2022.0,"['F27D15', 'C01B32', 'C01F11', 'B01D53']",9,"[9] 二酸化炭素, 製造, 炭酸ガス",15.771588,18.623417,-1,1,"[1] 二酸化炭素, 製造, 炭酸ガス",衰退・ニッチ (Declining/Niche),二酸化炭素固定化・環境技術,温室効果ガス削減・環境対応,その他
チューブ状炭酸カルシウムの製造方法,-,特願2023-115054,特開2025-012311,['ＴＢＭ'],[],2023.0,['C01F11'],16,"[16] 球状炭酸, 製造, カルシウム",19.027117,12.749137,-1,,,,炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
炭酸カルシウム粒子の製造方法,-,特願2023-115824,特開2025-012750,['ＴＢＭ'],[],2023.0,['C01F11'],23,"[23] 製造, 炭酸カルシウム, 炭酸ストロンチウム",18.124983,14.774673,-1,,,,炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
二酸化炭素の固定化方法,-,特願2023-089148,特開2024-078376,"['学校法人日本大学', '太平洋セメント']",[],2023.0,"['C04B18', '210', 'C01F11', 'B01D53']",9,"[9] 二酸化炭素, 製造, 炭酸ガス",15.38432,18.370115,-1,1,"[1] 二酸化炭素, 製造, 炭酸ガス",成熟・既存勢力 (Established),二酸化炭素固定化・環境技術,温室効果ガス削減・環境対応,その他
白色組成物及び種々の製剤、特に化粧品製剤におけるその使用,-,特願2025-529746,特表2025-540688,"['オリクロム', 'シャネル\u3000パルファン\u3000ボーテ']",[],2023.0,"['A61Q1', 'C08L101', 'C09C1', 'C01G29', 'C08K3', 'A61K8', 'C09D17', 'C01F11', 'C01G9', 'C01B21']",25,"[25] 顔料, 製造, 自己結合",13.676293,11.804976,-1,,,,その他,その他,その他
二酸化炭素の固定による非晶質炭酸カルシウムを調製するための方法,-,特願2025-526354,特表2025-535570,['アモールフィカル\u3000リミテッド'],[],2023.0,"['C01F5', 'C01F11']",9,"[9] 二酸化炭素, 製造, 炭酸ガス",15.809528,17.89417,-1,1,"[1] 二酸化炭素, 製造, 炭酸ガス",,二酸化炭素固定化・環境技術;その他炭酸塩関連技術,温室効果ガス削減・環境対応,その他
表面処理炭酸カルシウム填料、ならびにそれを用いた樹脂組成物および成形品,-,特願2023-131669,特開2025-026212,['丸尾カルシウム'],[],2023.0,"['C09C1', 'C01F11', 'C08L23', 'C08K3']",20,"[20] 炭酸カルシウム, 該填料, 硬化型",13.905204,13.776253,-1,,,成熟・既存勢力 (Established),高分子・樹脂複合材料技術;製紙・パルププロセス技術;その他炭酸塩関連技術,その他,表面処理・複合化の適用
沈降炭酸カルシウム（ＰＣＣ）を製造する方法、ＰＣＣ生成物及びＰＣＣの使用,-,特願2025-518502,特表2025-532953,['スペシャルティ\u3000ミネラルズ\u3000（ミシガン）\u3000インコーポレーテッド'],[],2023.0,['C01F11'],30,"[30] 炭酸カルシウム, 製造, カルシウム",18.863766,17.17943,-1,,,,炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
炭酸カルシウムの製造方法,-,特願2022-161697,特開2024-055082,['神戸製鋼所'],[],2022.0,['C01F11'],15,"[15] 炭酸カルシウム, 製造, 多面体炭酸",18.568892,20.341377,-1,,,,炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
水硬性組成物用早強剤,-,特願2023-175225,特開2024-062392,['花王'],[],2023.0,"['C04B22', 'C04B24', 'C08L33', 'C04B28', 'C08K3', 'C01F11']",26,"[26] 水性, 脱水, 石灰泥",16.804626,9.503942,-1,,,成熟・既存勢力 (Established),その他,その他,その他
水硬性組成物用早強剤,-,特願2023-175224,特開2024-062391,['花王'],[],2023.0,"['C04B22', 'C04B28', 'C01F11', 'C04B24']",26,"[26] 水性, 脱水, 石灰泥",16.828747,9.503968,-1,,,成熟・既存勢力 (Established),その他,その他,その他
炭酸カルシウムの製造方法及び製造システム,-,特願2022-143381,特開2024-039094,"['国立大学法人九州大学', '国立大学法人山口大学', '住友大阪セメント']",[],2022.0,['C01F11'],-1,ノイズ / 小クラスタ,18.061012,19.303143,-1,,,リーダー (Leaders),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,専用装置・プラントシステムの設計
二酸化炭素排出量低減方法および二酸化炭素排出量低減システム,-,特願2022-139878,特開2024-035431,['東亜建設工業'],[],2022.0,"['110', '331', 'B01D53', '240', 'C01D7', 'C01F11']",9,"[9] 二酸化炭素, 製造, 炭酸ガス",15.437572,18.623753,-1,1,"[1] 二酸化炭素, 製造, 炭酸ガス",,その他,温室効果ガス削減・環境対応,専用装置・プラントシステムの設計
高い隠ぺい性を有する炭酸カルシウムの製造方法及び製造システム,-,特願2022-134734,特開2024-031279,['住友大阪セメント'],[],2022.0,['C01F11'],-1,ノイズ / 小クラスタ,18.007275,19.334229,-1,,,リーダー (Leaders),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,専用装置・プラントシステムの設計
高い隠ぺい性を有する塗料用炭酸カルシウム及び当該炭酸カルシウムを配合した高い隠ぺい性を有する塗料,-,特願2022-134733,特開2024-031278,['住友大阪セメント'],[],2022.0,"['C09D201', 'C09D7', 'C01F11']",12,"[12] 炭酸カルシウム, 軽質炭酸, 製造",12.317859,11.90505,-1,,,リーダー (Leaders),その他炭酸塩関連技術,その他,配合・充填・抄紙プロセスの最適化
船舶の温室効果ガス排出削減装置及びこれを備えた船舶又は海洋構造物,-,特願2025-508835,特表2025-529043,['ハンファ\u3000オーシャン\u3000カンパニー\u3000リミテッド'],[],2023.0,"['F01N3', '331', '215', 'B01D53', '222', '240', '130', '101@J', '310', '220', 'C01F11', 'B63H21']",9,"[9] 二酸化炭素, 製造, 炭酸ガス",15.375951,18.582996,-1,1,"[1] 二酸化炭素, 製造, 炭酸ガス",,その他,温室効果ガス削減・環境対応,専用装置・プラントシステムの設計
船舶の温室効果ガス排出削減装置及びこれを備えた船舶又は海洋構造物,-,特願2025-508834,特表2025-529042,['ハンファ\u3000オーシャン\u3000カンパニー\u3000リミテッド'],[],2023.0,"['F01N3', '331', '215', 'B01D53', '222', '240', '130', '101@J', '310', '220', 'C01F11', 'B63H21']",9,"[9] 二酸化炭素, 製造, 炭酸ガス",15.290209,18.599121,-1,1,"[1] 二酸化炭素, 製造, 炭酸ガス",,その他,温室効果ガス削減・環境対応,専用装置・プラントシステムの設計
炭酸カルシウム配合ケイ酸塩被覆金属イオン化合複合組成物の製造方法,-,特願2023-124499,特開2025-020874,['宇宙環境保全センター'],[],2023.0,"['B01J37', 'B01J23', 'B01J21', 'B01J35', '101@D', 'C01F11']",11,"[11] アルカリ土, 金属炭, 金属炭酸",14.467408,8.9009,-1,,,,炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,表面処理・複合化の適用;配合・充填・抄紙プロセスの最適化
球状炭酸カルシウム粒子,-,特願2022-120529,特開2024-017708,['堺化学工業'],[],2022.0,"['A61Q1', 'A61Q19', 'A61Q17', 'A61K8', 'C01F11']",-1,ノイズ / 小クラスタ,19.252932,13.62102,-1,,,衰退・ニッチ (Declining/Niche),その他炭酸塩関連技術,その他,その他
表面処理炭酸カルシウムおよびそれを用いた樹脂組成物,-,特願2023-570461,WO2024/090015,['丸尾カルシウム'],[],2023.0,"['C09D7', 'C09J11', 'C09C3', 'C08K3', 'C09D201', 'C09D17', 'C01F11', 'C09J201']",20,"[20] 炭酸カルシウム, 該填料, 硬化型",13.926666,13.778406,-1,,,成熟・既存勢力 (Established),高分子・樹脂複合材料技術;その他炭酸塩関連技術,その他,表面処理・複合化の適用
合成ハンタイト製造方法及びそれを用いたポリウレタン繊維,-,特願2025-500777,特表2025-523652,['ソッキョン\u3000エイ\u3000ティー\u3000シーオー\u3000エルティディー'],[],2023.0,['C01F11'],25,"[25] 顔料, 製造, 自己結合",14.288431,12.372066,-1,,,,その他,その他,その他
弱酸中間体を用いてアルカリ水酸化物又はアルカリ土類酸化物を製造する方法,-,特願2024-568346,特表2025-517373,['イノベーター\u3000エナジー，エルエルシー'],[],2023.0,['C01F11'],10,"[10] 炭酸塩, 製造, 酸化物",14.47268,8.571171,-1,,,,その他,その他,その他
炭酸カルシウムの製造方法、炭酸カルシウムおよび抄紙用填料,-,特願2022-162355,特開2024-055430,['白石工業'],[],2022.0,['C01F11'],12,"[12] 炭酸カルシウム, 軽質炭酸, 製造",11.228467,12.286579,-1,,,成熟・既存勢力 (Established),炭酸塩製造・粒子制御技術;製紙・パルププロセス技術;その他炭酸塩関連技術,その他,配合・充填・抄紙プロセスの最適化
二酸化炭素固定化装置及び二酸化炭素固定化方法,-,特願2023-567252,WO2023/190372,"['出光興産', '日本コンクリート工業']",[],2023.0,"['110', '200', 'C01F11', 'B01D53']",9,"[9] 二酸化炭素, 製造, 炭酸ガス",15.398255,18.160763,-1,1,"[1] 二酸化炭素, 製造, 炭酸ガス",リーダー (Leaders),二酸化炭素固定化・環境技術,温室効果ガス削減・環境対応,専用装置・プラントシステムの設計
炭酸カルシウムの製造方法,-,特願2022-043751,特開2023-137509,['アイシン'],[],2022.0,['C01F11'],15,"[15] 炭酸カルシウム, 製造, 多面体炭酸",18.578562,20.365137,-1,,,,炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
複合体の製造方法および複合体,-,特願2022-148202,特開2023-122521,"['学校法人北里研究所', '日本海水', '国立大学法人\u3000東京大学', '出光興産']",[],2022.0,['C01F11'],34,"[34] 製造, 貝殻, ドロマイト",15.806812,11.803502,-1,,,リーダー (Leaders),その他,その他,表面処理・複合化の適用
強化された二酸化炭素隔離のためのナノバブル及び気液混合物,-,特願2022-170438,特開2023-109144,['プロトスター\u3000グループ\u3000リミティド'],[],2022.0,"['C01B32', '100', 'C09K8', 'B01D53', 'C01F5', 'B01F25', 'B01F23', 'C01F11']",-1,ノイズ / 小クラスタ,16.74474,14.632178,-1,,,,二酸化炭素固定化・環境技術,その他,その他
二酸化炭素の固定化方法及び固定化システム並びに炭酸塩の製造方法,-,特願2023-004107,特開2023-106331,"['学校法人北里研究所', '日本海水', '国立大学法人\u3000東京大学', '出光興産']",[],2023.0,"['210', 'C01B32', 'B01D53', '220', 'C01F11']",9,"[9] 二酸化炭素, 製造, 炭酸ガス",15.658841,17.974125,-1,1,"[1] 二酸化炭素, 製造, 炭酸ガス",リーダー (Leaders),炭酸塩製造・粒子制御技術;二酸化炭素固定化・環境技術;その他炭酸塩関連技術,温室効果ガス削減・環境対応,専用装置・プラントシステムの設計
反応器及びそれを含む炭酸化装置,-,特願2023-505404,特表2024-503961,"['ウーロン\u3000カンパニー\u3000リミテッド', 'ヒュンダイ\u3000オイルバンク\u3000カンパニー\u3000リミテッド']",[],2022.0,"['C01F11', 'B01D53']",-1,ノイズ / 小クラスタ,17.384697,18.6891,-1,,,,その他,その他,専用装置・プラントシステムの設計
建築材料を生成する方法,-,特願2024-537576,特表2025-500392,['ブルー\u3000プラネット\u3000システムズ\u3000コーポレーション'],[],2022.0,"['C04B18', 'C04B28', 'B28C7', 'C04B14', 'C01F11']",28,"[28] 石灰石, 石灰, 製造",17.219278,11.450439,-1,,,,その他,その他,その他
直接空気二酸化炭素捕捉のためのシステムおよび方法,-,特願2024-536084,特表2024-545883,['キャプチャー６\u3000コーポレーション'],[],2022.0,"['B01D61', 'C01B32', '500', 'C02F1', 'B01D53', 'C01F11']",9,"[9] 二酸化炭素, 製造, 炭酸ガス",15.36378,18.97665,-1,1,"[1] 二酸化炭素, 製造, 炭酸ガス",,二酸化炭素固定化・環境技術,その他,専用装置・プラントシステムの設計
コンクリート用細骨材及びコンクリートの製造方法,-,特願2021-189761,特開2023-076782,['ＨＰＣ沖縄'],[],2021.0,"['C04B40', 'C04B14', 'C04B28', 'C01F11']",28,"[28] 石灰石, 石灰, 製造",17.35068,11.442797,-1,,,,その他,その他,その他
リンとカルシウムを含む物質を利用した二酸化炭素の固定化方法及び固定化装置。,-,特願2021-179185,特開2023-068269,"['原田\u3000英信', '川上\u3000則明', '太田\u3000洋文']",[],2021.0,"['C01F11', 'C01B32']",9,"[9] 二酸化炭素, 製造, 炭酸ガス",15.657617,17.924255,-1,1,"[1] 二酸化炭素, 製造, 炭酸ガス",,二酸化炭素固定化・環境技術,温室効果ガス削減・環境対応,専用装置・プラントシステムの設計
二酸化炭素利用システム、炭酸カルシウムの製造装置及び製造方法,-,特願2022-143446,特開2024-039128,['住友大阪セメント'],[],2022.0,"['B01D46', '210', 'B01D53', '150', 'C01F11', 'C02F11']",9,"[9] 二酸化炭素, 製造, 炭酸ガス",16.010307,17.919184,-1,1,"[1] 二酸化炭素, 製造, 炭酸ガス",リーダー (Leaders),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,専用装置・プラントシステムの設計
ＣＯ２回収装置,-,特願2021-176315,特開2023-065903,['ジェイテクト'],[],2021.0,"['210', 'C01B32', 'B01D53', 'C01D7', 'C01F11']",9,"[9] 二酸化炭素, 製造, 炭酸ガス",15.240943,18.945631,-1,1,"[1] 二酸化炭素, 製造, 炭酸ガス",,その他,その他,専用装置・プラントシステムの設計
炭酸カルシウム水スラリーおよび炭酸カルシウム水スラリーの製造方法,-,特願2023-550156,WO2023/074608,['白石工業'],[],2022.0,"['D21H19', 'C01F11']",27,"[27] 炭酸カルシウム, 水性, 製造",18.236084,8.419714,-1,,,成熟・既存勢力 (Established),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
